"Year","Firm","ESG controversy score","Governance controversy score","Score - Emission Reduction/Biodiversity Controversies (Inactive)","Score - Product Innovation/Product Impact Controversies (Inactive)","Score - Resource Reduction/Environment Impact Controversy (Inactive)","Score - Client Loyalty/Anti-competition Controversy (Inactive)","Score - Community/Bribery Corruption Fraud Controversies (Inactive)","Score - Community/Critical Countries-Indigenous Controversy (Inactive)","Score - Community/Public Health Controversies (Inactive)","Score - Diversity and Opportunity/Diversity Controversies (Inactive)","Score - Employment Quality/Wages Work Condition Controversy (Inactive)","Score - Health & Safety/Health & Safety Controversies (Inactive)","Score - Human Rights/Child Labor Controversies (Inactive)","Score - Human Rights/Freedom of Association Controversies (Inactive)","Score - Human Rights/Human Rights Controversies (Inactive)","Score - Product Responsibility/Customer Controversies (Inactive)","Score - Product Responsibility/Social Exclusion Controversy (Inactive)","Score - Compensation Policy/Compensation Controversies (Inactive)","Score - Shareholder Loyalty/Accounting Controversies (Inactive)","Score - Shareholder Loyalty/Insider Dealings Controversies (Inactive)","Score - Shareholder Rights/Shareholder Controversies (Inactive)","mv","mc","tobin","roe","oia","ois","esg_score","assets","roa","sg","lev","div","ind","country"
2017,"AIR LIQUIDE",57.29,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,40982.63,44828181,1.294,11.01,0.077075908,0.154418088,68.13,40768900,6.12,12.21,36.86,2.47,33,"FR"
2017,"AIRBUS",0.69,39.15,52.99,52.06,54.61,0,0.09,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,0,50,51.63,0,52.06,52.91,48551.16,64277403,0.513,27.21,0.018352532,0.030329354,72.8,110339000,2.98,0.28,15.49,2.07,98,"FR"
2017,"AIXTRON",7.59,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,367.29,1294671,0.428,-6.5,-0.049414323,-0.096847844,49.94,451529,1.5,17.26,0,0,245,"DE"
2017,"AKASTOR",56.64,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,4384,4448067,0.546,-22.97,-0.032791973,-0.073789572,57.73,9667000,0.78,-16.42,26.19,0,51,"NO"
2017,"AKBANK",57.92,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,31080,39399990,0.305,14.87,0.022945592,0.280426527,78.82,338935561,2.41,18.35,25.6,1.93,102,"TR"
2017,"AKER",56.64,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,23708.66,29941092,0.652,65.98,0.037871415,0.075751021,40.68,83229000,2.91,-4.72,33.79,3.13,113,"NO"
2017,"AKER BP",59.48,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,52315.42,72706917,0.916,1.39,0.088401212,0.413423229,59.21,98674541,2.86,84.63,28.2,1.03,50,"NO"
2017,"AKER SOLUTIONS",56.64,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,11363.29,12542090,0.612,0.91,0.045699628,0.03886737,67.3,19103000,2.02,-12.11,16.31,0,51,"NO"
2017,"AKZO NOBEL",11.46,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,15057.45,18447056,1.101,14.8,0.055373967,0.08988764,64.25,15603000,5.87,1.89,20.98,2.63,33,"NL"
2017,"ALFA LAVAL",55.18,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,64638.16,81290634,1.423,11.35,0.078296703,0.112986351,86.51,50960000,6.11,-0.9,24.94,2.76,213,"SE"
2017,"ALIOR BANK",12.24,52.285,52.99,52.06,54.61,59.67,0.09,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,7019.99,10276458,0.101,9.97,0.011213144,0.162010637,37.97,68924200,0.95,32.35,4.07,0,102,"PL"
2017,"ALLIANCE TRUST",50.85,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,3143.45,2594775,0.94,19.22,0.158742615,0.975095616,62.98,2979263,14.66,-26.19,8.52,2.08,109,"GB"
2017,"ALLIANZ",54.65,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,71890.63,84045506,0.105,12.33,0.019010665,0.149817154,89.64,881400000,0.87,3.62,4.04,4.64,141,"DE"
2017,"ALLIED MINDS",57.18,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,1098.6,393034,4.109,-65.49,-0.497156696,-20.41681854,34.41,157739,-30.77,93.85,0.41,0,104,"GB"
2017,"ALLREAL HOLDING",53.4,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,2412.15,2622511,1.008,8.32,0.038212301,0.266013806,29.14,4336300,3.68,-25.59,44.12,3.8,112,"CH"
2017,"ALPHA BANK",57.92,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,2920.07,2758591,0.352,0.46,0.004153752,0.073293742,71,56482423,0.05,-3.09,24.54,0,102,"GR"
2017,"ALPIQ HOLDING",60,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,2355.41,1757497,0.364,9.16,0.013651542,0.025158371,25.5,10182000,-0.18,25.23,30.7,0,169,"CH"
2017,"ALSTOM",55.18,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,5795.51,6155227,0.344,94.62,0.029706463,0.057623871,90.75,14172000,2.52,6.18,14.39,0,258,"FR"
2017,"ALTEN",11.61,52.285,52.99,52.06,54.61,0,0.09,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,2281.91,2321963,1.682,15.22,0.134597473,0.095757019,58.12,1405383,10.86,12.99,4.04,1.48,150,"FR"
2017,"ALTRAN TECHNOLOGIES",56.36,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,2465.6,2397337,1.183,14.22,0.076583643,0.075659617,55.86,2254659,6.43,7.65,33.52,1.35,150,"FR"
2017,"AMADEUS IT GROUP",58.31,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,19058.05,26313348,2.685,30.17,0.172398443,0.279329033,85.47,7862600,13.18,8.49,27.33,1.92,150,"ES"
2017,"AMBU B",56.67,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,11875.61,23142503,5.798,26.65,0.181515404,0.185138004,55.86,2402000,13.86,13,32.72,0.54,132,"DK"
2017,"AMER SPORTS DEAD - DELIST.04/09/19",57.69,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,3039.97,2660494,1.328,12.65,0.062284845,0.057947266,69.46,2498200,4.47,2.41,32.96,2.14,155,"FI"
2017,"AMPLIFON",56.67,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,2081.15,2906080,1.621,11.41,0.106427701,0.119384452,53.28,1420119,8.26,11.73,29.25,0.47,103,"IT"
2017,"AMS",7.59,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,2121.51,6189936,1.439,15.41,0.016948278,0.051544831,41.42,3235255,4.39,93.43,38.89,1.96,130,"CH"
2017,"AMUNDI (WI)",57.18,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,8441.6,14233815,0.678,8.55,0.050189549,0.230918051,58.88,18663766,4.28,49.67,23.32,4.08,104,"FR"
2017,"ANADOLU EFES BIRACILIK LTD.",60.29,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,10823.68,14328941,0.766,-0.76,0.036640973,0.083158015,66.62,29383499,1.16,24.25,28.96,1.34,67,"TR"
2017,"ANGLO AMERICAN",58.81,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,16265.99,21764485,0.659,7.69,0.103751652,0.20329232,73.4,39493800,6.91,26.76,22.43,0,122,"GB"
2017,"ANGLO PACIFIC GROUP",58.81,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,220.07,275876,0.891,12.55,0.114475669,0.759081911,27.88,247878,4.39,89.71,0,4.63,122,"GB"
2017,"ANHEUSER-BUSCH INBEV",5.15,52.285,52.99,52.06,54.61,0,0.09,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,0,50,51.63,52.54,52.06,52.91,171186.8,180085499,1.255,1.66,0.072853097,0.300315359,68.72,204254940,4.54,20.15,47.57,2.6,67,"BE"
2017,"ANTOFAGASTA",58.81,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,6654.53,9907950,0.804,2.13,0.133835638,0.383922043,42.02,10464044,5.77,35.41,19.16,0.35,209,"GB"
2017,"AO WORLD",58.31,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,763.79,568421,3.707,2.35,-0.062127237,-0.017826583,55.21,201200,-2.99,17.02,8.65,0,90,"GB"
2017,"APERAM",58.81,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,3401.79,3662094,0.846,8.24,0.094120263,0.08849723,75.05,4169166,8.24,14.75,5.84,1.43,56,"NL"
2017,"ARCELIK",57.69,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,14028.11,14541667,1.063,21.75,0.064507506,0.061250885,88.98,19788488,7.82,29.48,37.07,1.87,59,"TR"
2017,"ARCELORMITTAL",2.69,52.285,52.99,52.06,54.61,0,0.09,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,21561.13,27655044,0.514,5.64,0.064682044,0.070006845,81.35,65253828,7.2,17.17,16.52,0,56,"NL"
2017,"ARGENX",52.23,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,326.85,1690127,2.111,-33.73,-0.074878407,-0.762680214,52.59,370908,-11.78,147.5,0,0,157,"BE"
2017,"ARKEMA",11.46,52.285,52.99,52.06,0,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,7065.51,7701276,1.04,12.15,0.095162317,0.107734807,75.64,9426000,6.89,10.5,33.77,2.03,92,"FR"
2017,"ARNOLDO MONDADORI EDI.",60.13,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,334.67,542441,0.436,7.85,0.044616823,0.044748429,53.13,1272009,2.9,0.39,19.65,0,84,"IT"
2017,"AROUNDTOWN",53.4,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,2790.87,6081140,0.799,23.57,0.02523336,0.658508822,58.92,13755600,11.89,92.58,37.07,1.24,112,"FR"
2017,"ARYZTA",59.86,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,4117.7,2758613,0.701,1.12,0.017582617,0.027041479,47.86,6350420,-13.93,-2.43,41.6,0,71,"CH"
2017,"ASCENTIAL",56.36,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,1081.06,1543588,1.484,4.32,0.083803042,0.209686003,55.96,940300,2.5,25.43,33.76,0.56,151,"GB"
2017,"ASELSAN ELNK.SANVETC.",65.28,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,12240,31800000,1.464,21.54,0.085430405,0.164615312,48.57,10328688,15.2,42.25,5.17,0.17,126,"TR"
2017,"ASHMORE GROUP",57.18,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,1999.74,2498440,1.547,25.84,0.211982595,0.659951372,57.71,896300,19.13,36.77,0,5.89,104,"GB"
2017,"ASHTEAD GROUP",8.69,52.285,52.99,52.06,54.61,0,0.09,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,7887.77,8142371,1.48,24.8,0.162553053,0.312476465,50.83,6126000,10.46,25.18,41.36,1.47,208,"GB"
2017,"ASIA DRAGON TRUST",50.85,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,572.23,688577,0.859,24.15,0.176630451,0.937102034,36.79,854043,19.3,-5.14,5.23,1.06,109,"GB"
2017,"ASM INTERNATIONAL",55.86,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,2734.99,3164620,1.018,6.72,0.054643493,0.159994359,70.58,2159086,21.24,23.33,0,1.63,245,"NL"
2017,"ASML HOLDING",55.86,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,47016.3,62036180,2.625,14.99,0.132636377,0.266138653,74.21,18164700,12.27,33.23,16.65,0.98,245,"NL"
2017,"ASOS",59.59,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,4141.45,4727971,5.664,12.18,0.096366699,0.041640674,78.85,831200,8.73,33.13,0,0,66,"GB"
2017,"ASR NEDERLAND",54.65,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,3384,4837005,0.067,16.6,0.021488844,0.188503532,75.97,54633000,1.87,-8.18,6.07,0,141,"NL"
2017,"ASSA ABLOY B",53.76,52.285,52.99,52.06,54.61,59.67,62.6,52.36,52.16,53.57,55.04,52.79,50.67,50.82,50.94,57.65,50,51.63,52.54,52.06,52.91,179252.9,189276401,2.225,14.09,0.122908787,0.158346139,66.21,98089000,9.55,6.79,23.46,1.56,30,"SE"
