Year,Firm,ESG controversy score,Governance controversy score,Score - Emission Reduction/Biodiversity Controversies (Inactive),Score - Product Innovation/Product Impact Controversies (Inactive),Score - Resource Reduction/Environment Impact Controversy (Inactive),Score - Client Loyalty/Anti-competition Controversy (Inactive),Score - Community/Bribery Corruption Fraud Controversies (Inactive),Score - Community/Critical Countries-Indigenous Controversy (Inactive),Score - Community/Public Health Controversies (Inactive),Score - Diversity and Opportunity/Diversity Controversies (Inactive),Score - Employment Quality/Wages Work Condition Controversy (Inactive),Score - Health & Safety/Health & Safety Controversies (Inactive),Score - Human Rights/Child Labor Controversies (Inactive),Score - Human Rights/Freedom of Association Controversies (Inactive),Score - Human Rights/Human Rights Controversies (Inactive),Score - Product Responsibility/Customer Controversies (Inactive),Score - Product Responsibility/Social Exclusion Controversy (Inactive),Score - Compensation Policy/Compensation Controversies (Inactive),Score - Shareholder Loyalty/Accounting Controversies (Inactive),Score - Shareholder Loyalty/Insider Dealings Controversies (Inactive),Score - Shareholder Rights/Shareholder Controversies (Inactive),mv,mc,tobin,roe,oia,ois,esg_score,assets,roa,sg,lev,div,ind,country,ESG Label
2017,BEKAERT (D),0.815012609,0.969120485,0.999434176,1,0.986452312,0.977715877,0.97080292,0.995437262,0.987504733,0.984742647,0.988328246,0.984337125,0,0,0,0.971520054,0,0.991359447,0.991694979,0.986545386,0.967629846,0.000993848,0.000690026,0.024482054,0.474485349,0.298730065,0.24672041,0.506038647,0.000326071,0.379321248,0.000490154,0.46773399,0.041328413,56,BE,3
2017,BELIMO HOLDING,0.815012609,0.969120485,0.999434176,1,0.986452312,0.977715877,0.97080292,0.995437262,0.987504733,0.984742647,0.988328246,0.984337125,0,0,0,0.971520054,0,0.991359447,0.991694979,0.986545386,0.967629846,0.000796072,0.000876884,0.07112635,0.478332536,0.331384803,0.247805002,0.494202899,3.69E-05,0.407857293,0.000482651,0.003817734,0.051906519,205,CH,3
2017,BELLWAY,0.793947486,0.969120485,0.999434176,1,0.986452312,0.977715877,0.97080292,0.995437262,0.987504733,0.984742647,0.988328246,0.984337125,0,0,0,0.971520054,0,0.991359447,0.991694979,0.986545386,0.967629846,0.001282877,0.00131288,0.026510067,0.479207493,0.329673791,0.248581738,0.557850242,0.000238196,0.405380481,0.0005078,0.011699507,0.107257073,36,GB,2
2017,BERGMAN & BEVING,0.815012609,0.969120485,0.999434176,1,0.986452312,0.977715877,0.97080292,0.995437262,0.987504733,0.984742647,0.988328246,0.984337125,0,0,0,0.971520054,0,0.991359447,0.991694979,0.986545386,0.967629846,0.002191,0.001820453,0.028085789,0.476353233,0.296718375,0.246352869,0.251570048,0.000414166,0.376686341,0.000469508,0.072783251,0.065190652,101,SE,3
2017,BERKELEY GROUP HDG.,0.793947486,0.969120485,0.999434176,1,0.986452312,0.977715877,0.97080292,0.995437262,0.987504733,0.984742647,0.988328246,0.984337125,0,0,0,0.971520054,0,0.991359447,0.991694979,0.986545386,0.967629846,0.001654064,0.001504934,0.027852349,0.480236468,0.326292715,0.24923532,0.628864734,0.000338913,0.405749368,0.000593433,0.082635468,0.175153752,36,GB,2
2017,BHP GROUP,0.007565643,0.969120485,0.999434176,1,0,0.977715877,0,0.995437262,0.987504733,0,0,0.984337125,0,0,0,0.971520054,0,0.991359447,0.991694979,0.986545386,0.967629846,0.011720484,0.021077826,0.027195798,0.473485866,0.308061468,0.249332174,0.856400966,0.006475429,0.380059022,0.000638319,0.337438424,0.078228782,122,GB,1
2017,BIC,0.832517431,0.969120485,0.999434176,1,0.986452312,0.977715877,0.97080292,0.995437262,0.987504733,0.984742647,0.988328246,0.984337125,0,0,0,0.971520054,0,0.991359447,0.991694979,0.986545386,0.967629846,0.00263172,0.001408932,0.048161657,0.476700594,0.328468341,0.248228128,0.668236715,0.000167464,0.39744941,0.000442039,0.002832512,0.064452645,62,FR,3
2017,BILFINGER BERGER,0.811748999,0.969120485,0.999434176,1,0.986452312,0.977715877,0.97080292,0.995437262,0.987504733,0.984742647,0.988328246,0.984337125,0,0,0,0.971520054,0,0.991359447,0.991694979,0.986545386,0.967629846,0.000717635,0.00055852,0.016734753,0.477513288,0.29088099,0.246271027,0.629227053,0.000267709,0.359322302,0.000421393,0.17820197,0,32,DE,3
2017,BILLERUDKORSNAS,0.876131138,0.969120485,0.999434176,1,0.986452312,0.977715877,0.97080292,0.995437262,0.987504733,0.984742647,0.988328246,0.984337125,0,0,0,0.971520054,0,0.991359447,0.991694979,0.986545386,0.967629846,0.013617449,0.009786241,0.032550336,0.475956718,0.302492275,0.247097578,0.815458937,0.002129299,0.380823145,0.000457729,0.225246305,0.067896679,82,SE,5
2017,BIM BIRLESIK MAGAZALAR,0.88043317,0.969120485,0.999434176,1,0.986452312,0.977715877,0.97080292,0.995437262,0.987504733,0.984742647,0.988328246,0.984337125,0,0,0,0.971520054,0,0.991359447,0.991694979,0.986545386,0.967629846,0.006278216,0.007946652,0.054508316,0.483700247,0.321070839,0.246401406,0.277777778,0.000532194,0.402086847,0.000549912,0,0.055596556,88,TR,5
2017,BIOMERIEUX,0.837116155,0.969120485,0.999434176,1,0.986452312,0.977715877,0.97080292,0.995437262,0.987504733,0.984742647,0.988328246,0.984337125,0,0,0,0.971520054,0,0.991359447,0.991694979,0.986545386,0.967629846,0.002382653,0.002965117,0.041975489,0.475760098,0.306986085,0.247384543,0.643478261,0.000222539,0.386751686,0.000483287,0.196182266,0.017220172,132,FR,3
2017,BMO COMMERCIAL,0.750778816,0.969120485,0.999434176,1,0.986452312,0.977715877,0.97080292,0.995437262,0.987504733,0.984742647,0.988328246,0.984337125,0,0,0,0.971520054,0,0.991359447,0.991694979,0.986545386,0.967629846,0.000454769,0.000359492,0.026407937,0.473652993,0.288717581,0.253469838,0.507125604,0.00011031,0.383194562,0.000442767,0.259852217,0.108241082,109,GB,2
2017,BMW,0.091084409,0.969120485,0.999434176,1,0,0,0,0.995437262,0.987504733,0.984742647,0,0.984337125,0,0,0,0,0,0.991359447,0.991694979,0.986545386,0.967629846,0.022967399,0.019223421,0.023665013,0.476910322,0.294582519,0.247059711,0.853985507,0.01452234,0.376633642,0.000465051,0.601477833,0.087822878,65,DE,1
2017,BNP PARIBAS,0.021361816,0.969120485,0.999434176,1,0.986452312,0,0,0.995437262,0.987504733,0.984742647,0.988328246,0.984337125,0,0,0,0,0,0.991359447,0.991694979,0.986545386,0.967629846,0.031976532,0.026161566,0.013437409,0.474872034,0.2824636,0.246995647,0.955434783,0.148232418,0.365487985,0.000463186,0.105172414,0.094218942,102,FR,1
2017,BOLIDEN ORD SHS,0.051772734,0.969120485,0.999434176,1,0.986452312,0.977715877,0.97080292,0.995437262,0.987504733,0.984742647,0,0.984337125,0,0,0,0.971520054,0,0.991359447,0.991694979,0.986545386,0.967629846,0.027903968,0.025840339,0.032783776,0.476861167,0.323269562,0.248031802,0.622342995,0.004231993,0.397818297,0.000547228,0.117857143,0.033210332,122,SE,1
